motion_id,pure_motion_id,scene_id,scene_trans_x,scene_trans_y,scene_trans_z,object_id,object_label,object_semantic_label,action,text
000051,002047_ad486d18-46df-4b3b-8a33-83a910beba13,scene0013_00,-4.11142061,-4.53453403,-0.07400747,5,coffee table,7,lie,lie on the coffee table
000052,006093_467756eb-d2bf-4e8f-9c5d-35b7ad8aabd8,scene0013_00,-4.11142061,-4.53453403,-0.07400747,5,coffee table,7,lie,lie on the coffee table
000053,007726_38073ee7-506f-4193-9f0a-bb9299823bf7,scene0013_00,-4.11142061,-4.53453403,-0.07400747,5,coffee table,7,lie,lie on the coffee table
000054,011341_4a6fbcdd-bce8-49c1-a126-537713108063,scene0013_00,-4.11142061,-4.53453403,-0.07400747,5,coffee table,7,lie,lie on the coffee table
000055,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0013_00,-4.11142061,-4.53453403,-0.07400747,5,coffee table,7,lie,lie on the coffee table
000056,004974_946cb0bf-855b-47fb-88f3-14508cbe9768,scene0017_00,-3.04947323,-2.91437543,-0.04713880,7,desk,14,lie,lie on the desk
000057,002047_ad486d18-46df-4b3b-8a33-83a910beba13,scene0022_00,-5.39745906,-3.19064611,-0.38427908,8,table,7,lie,lie on the table that is close to the refrigerator
000058,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0022_00,-5.39745906,-3.19064611,-0.38427908,8,table,7,lie,lie on the table that is close to the whiteboard
000059,004974_5eb1837d-39a9-4845-9186-efb6220ac724,scene0022_00,-5.39745906,-3.19064611,-0.38427908,8,table,7,lie,lie on the table that is near the refrigerator
000060,006110_18537493-7920-4b1d-8f1c-263896e47333,scene0022_00,-5.39745906,-3.19064611,-0.38427908,8,table,7,lie,lie on the table that is near the refrigerator
000061,007506_4957b89b-16ca-42c8-96b2-36cc47cc8b7c,scene0022_00,-5.39745906,-3.19064611,-0.38427908,8,table,7,lie,lie on the table that is far away from the window
000062,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0022_00,-5.39745906,-3.19064611,-0.38427908,8,table,7,lie,lie on the table that is far from the couch
000063,012692_9e491be4-50b1-406f-b878-bf0c08e241e4,scene0022_00,-5.39745906,-3.19064611,-0.38427908,8,table,7,lie,lie on the table that is farthest from the couch
000064,000122_b9fa1c75-98e9-4be4-91d7-6af4fc4275ad,scene0023_00,-3.77945828,-5.03473350,-0.28533495,5,table,7,lie,lie on the table that is farthest from the window
000065,001336_8e645c4f-c492-4f0a-82b3-97bb779f073b,scene0023_00,-3.77945828,-5.03473350,-0.28533495,5,table,7,lie,lie on the table that is farthest from the window
000066,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0023_00,-3.77945828,-5.03473350,-0.28533495,5,table,7,lie,lie on the table that is far from the printer
000067,004974_946cb0bf-855b-47fb-88f3-14508cbe9768,scene0023_00,-3.77945828,-5.03473350,-0.28533495,5,table,7,lie,lie on the table that is far from the shelf
000068,006093_467756eb-d2bf-4e8f-9c5d-35b7ad8aabd8,scene0023_00,-3.77945828,-5.03473350,-0.28533495,5,table,7,lie,lie on the table that is farthest from the window
000069,007726_38073ee7-506f-4193-9f0a-bb9299823bf7,scene0023_00,-3.77945828,-5.03473350,-0.28533495,5,table,7,lie,lie on the table that is far from the shelf
000070,011341_4a6fbcdd-bce8-49c1-a126-537713108063,scene0023_00,-3.77945828,-5.03473350,-0.28533495,5,table,7,lie,lie on the table that is far away from the computer tower
000071,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0023_00,-3.77945828,-5.03473350,-0.28533495,5,table,7,lie,lie on the table that is farthest from the window
000072,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0028_00,-3.62688781,-4.41298633,-0.06728763,18,table,7,lie,lie on the table
000073,006110_18537493-7920-4b1d-8f1c-263896e47333,scene0028_00,-3.62688781,-4.41298633,-0.06728763,18,table,7,lie,lie on the table
000074,011341_6460ef9d-13be-4cd5-bd8c-b3adae6ebc9e,scene0028_00,-3.62688781,-4.41298633,-0.06728763,18,table,7,lie,lie on the table
000075,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0028_00,-3.62688781,-4.41298633,-0.06728763,18,table,7,lie,lie on the table
000076,013197_c929646d-31cb-4142-b221-10853c877474,scene0028_00,-3.62688781,-4.41298633,-0.06728763,18,table,7,lie,lie on the table
000077,001205_98e2d1cd-018c-4c6c-acd7-159f8279ddeb,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is near the picture
000078,003415_41ccbef3-7bbf-4097-87f1-9e0c83bd084d,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is near the picture
000079,003533_e46f4eac-f0f6-485d-b06f-1e089542bcf2,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is closer to the picture
000080,003533_e46f4eac-f0f6-485d-b06f-1e089542bcf2,scene0031_00,-3.96630514,-2.56994888,-0.08410793,16,table,7,lie,lie on the table that is farthest from the picture
000081,007506_7471ab7e-d900-4056-9299-837b7a60a98b,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is closer to the picture
000082,007506_7471ab7e-d900-4056-9299-837b7a60a98b,scene0031_00,-3.96630514,-2.56994888,-0.08410793,16,table,7,lie,lie on the table that is far away from the picture
000083,007600_e93fa29b-2141-4dc2-9f25-eab0dc154c3f,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is closer to the picture
000084,008000_7e6a9b72-5062-4075-9927-d25959b214c4,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is near the picture
000085,011341_6460ef9d-13be-4cd5-bd8c-b3adae6ebc9e,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is closer to the picture
000086,011341_6460ef9d-13be-4cd5-bd8c-b3adae6ebc9e,scene0031_00,-3.96630514,-2.56994888,-0.08410793,16,table,7,lie,lie on the table that is far away from the picture
000087,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is closer to the picture
000088,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0031_00,-3.96630514,-2.56994888,-0.08410793,16,table,7,lie,lie on the table that is far away from the picture
000089,012692_310ea699-fdf8-4ccb-a82c-7fa9d5cea170,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is near the picture
000090,012692_310ea699-fdf8-4ccb-a82c-7fa9d5cea170,scene0031_00,-3.96630514,-2.56994888,-0.08410793,16,table,7,lie,lie on the table that is farthest from the picture
000091,013197_c929646d-31cb-4142-b221-10853c877474,scene0031_00,-3.96630514,-2.56994888,-0.08410793,0,table,7,lie,lie on the table that is closer to the picture
000092,001336_8e645c4f-c492-4f0a-82b3-97bb779f073b,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000093,002047_ad486d18-46df-4b3b-8a33-83a910beba13,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000094,002684_283ab8a7-a444-4445-a05a-928827f37610,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000095,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000096,004974_5eb1837d-39a9-4845-9186-efb6220ac724,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000097,006110_18537493-7920-4b1d-8f1c-263896e47333,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000098,007506_4957b89b-16ca-42c8-96b2-36cc47cc8b7c,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000099,007580_a3ff6f8b-f955-45f3-902d-c2149b71a36b,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000100,008000_5d08bde3-ac65-45ad-b15b-6f3e6b3da209,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000101,012692_9e491be4-50b1-406f-b878-bf0c08e241e4,scene0032_00,-1.97246391,-1.78521748,-0.02708827,6,bed,4,lie,lie on the bed
000102,002684_283ab8a7-a444-4445-a05a-928827f37610,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000103,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000104,006110_18537493-7920-4b1d-8f1c-263896e47333,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000105,007506_4957b89b-16ca-42c8-96b2-36cc47cc8b7c,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000106,007580_a3ff6f8b-f955-45f3-902d-c2149b71a36b,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000107,008000_5d08bde3-ac65-45ad-b15b-6f3e6b3da209,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000108,008000_7e6a9b72-5062-4075-9927-d25959b214c4,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000109,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000110,012692_9e491be4-50b1-406f-b878-bf0c08e241e4,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000111,012692_310ea699-fdf8-4ccb-a82c-7fa9d5cea170,scene0035_00,-2.57882632,-2.67143153,-0.04127250,1,bed,4,lie,lie on the bed
000112,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0037_00,-3.96049399,-5.26484665,-0.25424444,3,table,7,lie,lie on the table
000113,003533_e46f4eac-f0f6-485d-b06f-1e089542bcf2,scene0037_00,-3.96049399,-5.26484665,-0.25424444,3,table,7,lie,lie on the table
000114,004974_946cb0bf-855b-47fb-88f3-14508cbe9768,scene0037_00,-3.96049399,-5.26484665,-0.25424444,3,table,7,lie,lie on the table
000115,007600_e93fa29b-2141-4dc2-9f25-eab0dc154c3f,scene0037_00,-3.96049399,-5.26484665,-0.25424444,3,table,7,lie,lie on the table
000116,009697_4c82fcf6-aac0-4693-90dc-46b444412cb2,scene0037_00,-3.96049399,-5.26484665,-0.25424444,3,table,7,lie,lie on the table
000117,009697_83bc4547-345c-4b39-becb-d425b4e60518,scene0037_00,-3.96049399,-5.26484665,-0.25424444,3,table,7,lie,lie on the table
000118,002684_283ab8a7-a444-4445-a05a-928827f37610,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000119,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000120,006110_18537493-7920-4b1d-8f1c-263896e47333,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000121,007506_7471ab7e-d900-4056-9299-837b7a60a98b,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000122,008000_7e6a9b72-5062-4075-9927-d25959b214c4,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000123,011341_6460ef9d-13be-4cd5-bd8c-b3adae6ebc9e,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000124,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000125,012692_9e491be4-50b1-406f-b878-bf0c08e241e4,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000126,012692_310ea699-fdf8-4ccb-a82c-7fa9d5cea170,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000127,013197_c929646d-31cb-4142-b221-10853c877474,scene0038_00,-4.06956068,-5.96467530,-0.05397423,1,table,7,lie,lie on the table
000128,001336_8e645c4f-c492-4f0a-82b3-97bb779f073b,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000129,001810_c71dc702-1f1d-4381-895c-f07e9a10876b,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000130,002047_ad486d18-46df-4b3b-8a33-83a910beba13,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000131,004974_5eb1837d-39a9-4845-9186-efb6220ac724,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000132,006093_467756eb-d2bf-4e8f-9c5d-35b7ad8aabd8,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000133,007506_4957b89b-16ca-42c8-96b2-36cc47cc8b7c,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000134,007580_a3ff6f8b-f955-45f3-902d-c2149b71a36b,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000135,008000_5d08bde3-ac65-45ad-b15b-6f3e6b3da209,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000136,011341_4a6fbcdd-bce8-49c1-a126-537713108063,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000137,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0039_00,-2.68109738,-1.96696862,-0.03043830,8,bed,4,lie,lie on the bed
000138,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0040_00,-3.07754148,-3.02284113,-0.07007073,8,desk,14,lie,lie on the desk that is farthest from the cabinet
000139,000122_b9fa1c75-98e9-4be4-91d7-6af4fc4275ad,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000140,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000141,004974_946cb0bf-855b-47fb-88f3-14508cbe9768,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000142,006078_bee2741c-d84a-4938-81bb-15a6589d104e,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000143,006093_467756eb-d2bf-4e8f-9c5d-35b7ad8aabd8,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000144,007580_2b1619bf-9cad-41f0-83a8-6e703228bba1,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000145,007726_38073ee7-506f-4193-9f0a-bb9299823bf7,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000146,009697_83bc4547-345c-4b39-becb-d425b4e60518,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000147,011341_4a6fbcdd-bce8-49c1-a126-537713108063,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000148,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0043_00,-4.73641166,-3.59373354,-0.24090553,6,desk,14,lie,lie on the desk
000149,000122_b9fa1c75-98e9-4be4-91d7-6af4fc4275ad,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000150,001336_8e645c4f-c492-4f0a-82b3-97bb779f073b,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000151,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000152,001810_c71dc702-1f1d-4381-895c-f07e9a10876b,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000153,002047_ad486d18-46df-4b3b-8a33-83a910beba13,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000154,006093_467756eb-d2bf-4e8f-9c5d-35b7ad8aabd8,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000155,007726_38073ee7-506f-4193-9f0a-bb9299823bf7,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000156,011341_4a6fbcdd-bce8-49c1-a126-537713108063,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000157,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0046_00,-3.05909355,-2.05980277,-0.05818878,3,bed,4,lie,lie on the bed
000158,004974_946cb0bf-855b-47fb-88f3-14508cbe9768,scene0047_00,-4.39144191,-2.36431610,-0.06495946,19,dining table,7,lie,lie on the dining table
000159,013197_c929646d-31cb-4142-b221-10853c877474,scene0047_00,-4.39144191,-2.36431610,-0.06495946,19,dining table,7,lie,lie on the dining table
000160,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0051_00,-2.75468731,-4.35557858,-0.08645323,0,bed,4,lie,lie on the bed
000161,011341_6460ef9d-13be-4cd5-bd8c-b3adae6ebc9e,scene0051_00,-2.75468731,-4.35557858,-0.08645323,0,bed,4,lie,lie on the bed
000162,011341_84180eb7-df7a-4e74-bcee-cc24a8f11f1f,scene0051_00,-2.75468731,-4.35557858,-0.08645323,0,bed,4,lie,lie on the bed
000163,013197_c929646d-31cb-4142-b221-10853c877474,scene0051_00,-2.75468731,-4.35557858,-0.08645323,0,bed,4,lie,lie on the bed
000164,001336_21b80aa7-9271-440a-98da-8f908d74de54,scene0053_00,-2.51130780,-2.69670337,-0.11129005,9,coffee table,7,lie,lie on the coffee table
000165,011341_adc0204d-cd60-4fda-a3ba-7015dadc3dad,scene0053_00,-2.51130780,-2.69670337,-0.11129005,9,coffee table,7,lie,lie on the coffee table
000166,002047_ad486d18-46df-4b3b-8a33-83a910beba13,scene0055_00,-1.73408751,-1.38605065,-0.06077900,8,bed,4,lie,lie on the bed
000167,002684_283ab8a7-a444-4445-a05a-928827f37610,scene0055_00,-1.73408751,-1.38605065,-0.06077900,8,bed,4,lie,lie on the bed
000168,003099_2573cf36-128f-415f-855f-2b628d5132d2,scene0055_00,-1.73408751,-1.38605065,-0.06077900,8,bed,4,lie,lie on the bed
000169,004974_5eb1837d-39a9-4845-9186-efb6220ac724,scene0055_00,-1.73408751,-1.38605065,-0.06077900,8,bed,4,lie,lie on the bed
000170,006110_18537493-7920-4b1d-8f1c-263896e47333,scene0055_00,-1.73408751,-1.38605065,-0.06077900,8,bed,4,lie,lie on the bed
000171,007506_4957b89b-16ca-42c8-96b2-36cc47cc8b7c,scene0055_00,-1.73408751,-1.38605065,-0.06077900,8,bed,4,lie,lie on the bed
